CVEGEO_INEGI,CVE_ENT_INEGI,CVE_MUN_INEGI,NOMGEOINEGI,CVEGEO_INEGI,CVE_ENT_INE,CVE_MUN_INE,NOM_INE,CVEGEO_INE
21007,21,7,Ahuatlan,21007,21,7,AHUATLAN,21007
21008,21,8,Ahuazotepec,21008,21,8,AHUAZOTEPEC,21008
21009,21,9,Ahuehuetitla,21009,21,9,AHUEHUETITLA,21009
8001,8,1,Ahumada,8001,8,1,AHUMADA,8001
13005,13,5,Ajacuba,13005,13,5,AJACUBA,13005
21010,21,10,Ajalpan,21010,21,10,AJALPAN,21010
12003,12,3,Ajuchitlan del Progreso,12003,12,3,AJUCHITLAN DEL PROGRESO,12003
7113,7,113,Aldama,7113,7,112,ALDAMA,7112
13006,13,6,Alfajayucan,13006,13,6,ALFAJAYUCAN,13006
15006,15,6,Almoloya del Rio,15006,15,6,ALMOLOYA DEL RIO,15006
30021,30,21,Atoyac,30021,30,22,ATOYAC,30022
12011,12,11,Atoyac de alvarez,12011,12,11,ATOYAC DE ALVAREZ,12011
21012,21,12,Aljojuca,21012,21,12,ALJOJUCA,21012
13007,13,7,Almoloya,13007,13,7,ALMOLOYA,13007
15004,15,4,Almoloya de Alquisiras,15004,15,4,ALMOLOYA DE ALQUISIRAS,15004
15005,15,5,Almoloya de Juarez,15005,15,5,ALMOLOYA DE JUAREZ,15005
12005,12,5,Alpoyeca,12005,12,5,ALPOYECA,12005
28003,28,3,Altamira,28003,28,3,ALTAMIRA,28003
7004,7,4,Altamirano,7004,7,4,ALTAMIRANO,7004
26004,26,4,Altar,26004,26,3,ALTAR,26003
31073,31,73,Tahdziu,31073,31,73,TAHDZIU,31073
30008,30,8,Alpatlahuac,30008,30,9,ALPATLAHUAC,30009
21013,21,13,Altepexi,21013,21,13,ALTEPEXI,21013
30009,30,9,Alto Lucero de Gutierrez Barrios,30009,30,10,ALTO LUCERO DE GUTIERREZ BARRIOS,30010
30010,30,10,Altotonga,30010,30,11,ALTOTONGA,30011
30011,30,11,Alvarado,30011,30,12,ALVARADO,30012
31074,31,74,Tahmek,31074,31,74,TAHMEK,31074
14083,14,83,Tala,14083,14,84,TALA,14084
14084,14,84,Talpa de Allende,14084,14,85,TALPA DE ALLENDE,14085
30150,30,150,Tamalin,30150,30,151,TAMALIN,30151
24036,24,36,Tamasopo,24036,24,36,TAMASOPO,24036
10034,10,34,Tamazula,10034,10,35,TAMAZULA,10035
16003,16,3,alvaro Obregon,16003,16,3,ALVARO OBREGON,16003
9010,9,10,alvaro Obregon,9010,9,10,ALVARO OBREGON,9010
14085,14,85,Tamazula de Gordiano,14085,14,86,TAMAZULA DE GORDIANO,14086
20031,20,31,Tamazulapam del Espiritu Santo,20031,20,540,TAMAZULAPAM DEL ESPIRITU SANTO,20540
24037,24,37,Tamazunchale,24037,24,37,TAMAZUNCHALE,24037
30151,30,151,Tamiahua,30151,30,152,TAMIAHUA,30152
24038,24,38,Tampacan,24038,24,38,TAMPACAN,24038
31075,31,75,Teabo,31075,31,75,TEABO,31075
27016,27,16,Teapa,27016,27,16,TEAPA,27016
5003,5,3,Allende,5003,5,3,ALLENDE,5003
8003,8,3,Allende,8003,8,3,ALLENDE,8003
17001,17,1,Amacuzac,17001,17,1,AMACUZAC,17001
21153,21,153,Tecali de Herrera,21153,21,152,TECALI DE HERRERA,21152
14087,14,87,Tecalitlan,14087,14,88,TECALITLAN,14088
19004,19,4,Allende,19004,19,4,ALLENDE,19004
20409,20,409,Santa Maria del Tule,20409,20,410,SANTA MARIA DEL TULE,20410
20410,20,410,Santa Maria Ecatepec,20410,20,411,SANTA MARIA ECATEPEC,20411
14004,14,4,Amacueca,14004,14,4,AMACUECA,14004
15007,15,7,Amanalco,15007,15,7,AMANALCO,15007
7005,7,5,Amatan,7005,7,5,AMATAN,7005
7006,7,6,Amatenango de la Frontera,7006,7,6,AMATENANGO DE LA FRONTERA,7006
7007,7,7,Amatenango del Valle,7007,7,7,AMATENANGO DEL VALLE,7007
15008,15,8,Amatepec,15008,15,8,AMATEPEC,15008
14005,14,5,Amatitan,14005,14,5,AMATITAN,14005
30012,30,12,Amatitlan,30012,30,13,AMATITLAN,30013
18003,18,3,Amatlan de Cañas,18003,18,3,AMATLAN DE CAÑAS,18003
30014,30,14,Amatlan de los Reyes,30014,30,14,AMATLAN DE LOS REYES,30014
20411,20,411,Santa Maria Guelace,20411,20,412,SANTA MARIA GUELACE,20412
20412,20,412,Santa Maria Guienagati,20412,20,413,SANTA MARIA GUIENAGATI,20413
20413,20,413,Santa Maria Huatulco,20413,20,414,SANTA MARIA HUATULCO,20414
29001,29,1,Amaxac de Guerrero,29001,29,1,AMAXAC DE GUERRERO,29001
22001,22,1,Amealco de Bonfil,22001,22,1,AMEALCO DE BONFIL,22001
14006,14,6,Ameca,14006,14,6,AMECA,14006
15009,15,9,Amecameca,15009,15,9,AMECAMECA,15009
21014,21,14,Amixtlan,21014,21,14,AMIXTLAN,21014
21015,21,15,Amozoc,21015,21,15,AMOZOC,21015
19005,19,5,Anahuac,19005,19,5,ANAHUAC,19005
16005,16,5,Angangueo,16005,16,5,ANGANGUEO,16005
7008,7,8,angel Albino Corzo,7008,7,8,ANGEL ALBINO CORZO,7008
30015,30,15,Angel R. Cabada,30015,30,16,ANGEL R. CABADA,30016
25002,25,2,Angostura,25002,25,2,ANGOSTURA,25002
16004,16,4,Angamacutiro,16004,16,4,ANGAMACUTIRO,16004
28004,28,4,Antiguo Morelos,28004,28,4,ANTIGUO MORELOS,28004
13008,13,8,Apan,13008,13,8,APAN,13008
11004,11,4,Apaseo el Alto,11004,11,4,APASEO EL ALTO,11004
11005,11,5,Apaseo el Grande,11005,11,5,APASEO EL GRANDE,11005
16006,16,6,Apatzingan,16006,16,6,APATZINGAN,16006
15010,15,10,Apaxco,15010,15,10,APAXCO,15010
12006,12,6,Apaxtla,12006,12,6,APAXTLA,12006
30017,30,17,Apazapan,30017,30,18,APAZAPAN,30018
31026,31,26,Dzemul,31026,31,26,DZEMUL,31026
29002,29,2,Apetatitlan de Antonio Carvajal,29002,29,2,APETATITLAN DE ANTONIO CARVAJAL,29002
29005,29,5,Apizaco,29005,29,3,APIZACO,29003
19006,19,6,Apodaca,19006,19,6,APODACA,19006
15044,15,44,Jaltenco,15044,15,45,JALTENCO,15045
30089,30,89,Jaltipan,30089,30,91,JALTIPAN,30091
16007,16,7,Aporo,16007,16,7,APORO,16007
32001,32,1,Apozol,32001,32,1,APOZOL,32001
32002,32,2,Apulco,32002,32,2,APULCO,32002
30018,30,18,Aquila,30018,30,19,AQUILA,30019
16008,16,8,Aquila,16008,16,8,AQUILA,16008
13032,13,32,Jaltocan,13032,13,32,JALTOCAN,13032
30090,30,90,Jamapa,30090,30,92,JAMAPA,30092
8004,8,4,Aquiles Serdan,8004,8,4,AQUILES SERDAN,8004
24003,24,3,Aquismon,24003,24,3,AQUISMON,24003
21016,21,16,Aquixtla,21016,21,16,AQUIXTLA,21016
19007,19,7,Aramberri,19007,19,7,ARAMBERRI,19007
14008,14,8,Arandas,14008,14,8,ARANDAS,14008
12007,12,7,Arcelia,12007,12,7,ARCELIA,12007
16009,16,9,Ario,16009,16,9,ARIO,16009
26005,26,5,Arivechi,26005,26,4,ARIVECHI,26004
26006,26,6,Arizpe,26006,26,5,ARIZPE,26005
24004,24,4,Armadillo de los Infante,24004,24,4,ARMADILLO DE LOS INFANTE,24004
6001,6,1,Armeria,6001,6,6,ARMERIA,6006
7009,7,9,Arriaga,7009,7,9,ARRIAGA,7009
22003,22,3,Arroyo Seco,22003,22,2,ARROYO SECO,22002
5004,5,4,Arteaga,5004,5,4,ARTEAGA,5004
16010,16,10,Arteaga,16010,16,10,ARTEAGA,16010
8005,8,5,Ascension,8005,8,5,ASCENSION,8005
30019,30,19,Astacinga,30019,30,20,ASTACINGA,30020
20003,20,3,Asuncion Cacalotepec,20003,20,4,ASUNCION CACALOTEPEC,20004
20004,20,4,Asuncion Cuyotepeji,20004,20,5,ASUNCION CUYOTEPEJI,20005
20005,20,5,Asuncion Ixtaltepec,20005,20,6,ASUNCION IXTALTEPEC,20006
20006,20,6,Asuncion Nochixtlan,20006,20,7,ASUNCION NOCHIXTLAN,20007
20007,20,7,Asuncion Ocotlan,20007,20,8,ASUNCION OCOTLAN,20008
15017,15,17,Ayapango,15017,15,17,AYAPANGO,15017
20008,20,8,Asuncion Tlacolulita,20008,20,9,ASUNCION TLACOLULITA,20009
11006,11,6,Atarjea,11006,11,6,ATARJEA,11006
14010,14,10,Atemajac de Brizuela,14010,14,10,ATEMAJAC DE BRIZUELA,14010
21017,21,17,Atempan,21017,21,17,ATEMPAN,21017
12008,12,8,Atenango del Rio,12008,12,8,ATENANGO DEL RIO,12008
29045,29,45,Benito Juarez,29045,29,60,BENITO JUAREZ,29060
20145,20,145,San Francisco Lachigolo,20145,20,142,SAN FRANCISCO LACHIGOLO,20142
15011,15,11,Atenco,15011,15,11,ATENCO,15011
14011,14,11,Atengo,14011,14,11,ATENGO,14011
14012,14,12,Atenguillo,14012,14,12,ATENGUILLO,14012
21018,21,18,Atexcal,21018,21,18,ATEXCAL,21018
21124,21,124,San Gabriel Chilac,21124,21,125,SAN GABRIEL CHILAC,21125
20153,20,153,San Gabriel Mixtepec,20153,20,150,SAN GABRIEL MIXTEPEC,20150
26007,26,7,Atil,26007,26,6,ATIL,26006
13010,13,10,Atitalaquia,13010,13,9,ATITALAQUIA,13009
15012,15,12,Atizapan,15012,15,12,ATIZAPAN,15012
15013,15,13,Atizapan de Zaragoza,15013,15,13,ATIZAPAN DE ZARAGOZA,15013
31006,31,6,Buctzotz,31006,31,6,BUCTZOTZ,31006
8010,8,10,Buenaventura,8010,8,10,BUENAVENTURA,8010
16012,16,12,Buenavista,16012,16,12,BUENAVISTA,16012
15014,15,14,Atlacomulco,15014,15,14,ATLACOMULCO,15014
30020,30,20,Atlahuilco,30020,30,21,ATLAHUILCO,30021
12009,12,9,Atlamajalcingo del Monte,12009,12,9,ATLAMAJALCINGO DEL MONTE,12009
29003,29,3,Atlangatepec,29003,29,4,ATLANGATEPEC,29004
13011,13,11,Atlapexco,13011,13,10,ATLAPEXCO,13010
17002,17,2,Atlatlahucan,17002,17,2,ATLATLAHUCAN,17002
4010,4,10,Calakmul,4010,4,11,CALAKMUL,4011
30029,30,29,Calcahualco,30029,30,30,CALCAHUALCO,30030
15015,15,15,Atlautla,15015,15,15,ATLAUTLA,15015
32005,32,5,Calera,32005,32,5,CALERA,32005
20308,20,308,San Pedro Huilotepec,20308,20,306,SAN PEDRO HUILOTEPEC,20306
21080,21,80,Atlequizayan,21080,21,82,ATLEQUIZAYAN,21082
21019,21,19,Atlixco,21019,21,19,ATLIXCO,21019
12010,12,10,Atlixtac,12010,12,10,ATLIXTAC,12010
29004,29,4,Atltzayanca,29004,29,5,ATLTZAYANCA,29005
32003,32,3,Atolinga,32003,32,3,ATOLINGA,32003
7120,7,120,Capitan Luis angel Vidal,7120,7,119,CAPITAN LUIS ANGEL VIDAL,7119
20309,20,309,San Pedro Ixcatlan,20309,20,307,SAN PEDRO IXCATLAN,20307
13013,13,13,Atotonilco de Tula,13013,13,12,ATOTONILCO DE TULA,13012
14013,14,13,Atotonilco el Alto,14013,14,13,ATOTONILCO EL ALTO,14013
13012,13,12,Atotonilco el Grande,13012,13,11,ATOTONILCO EL GRANDE,13011
14014,14,14,Atoyac,14014,14,14,ATOYAC,14014
21020,21,20,Atoyatempan,21020,21,20,ATOYATEMPAN,21020
30022,30,22,Atzacan,30022,30,23,ATZACAN,30023
21021,21,21,Atzala,21021,21,21,ATZALA,21021
30023,30,23,Atzalan,30023,30,24,ATZALAN,30024
21022,21,22,Atzitzihuacan,21022,21,22,ATZITZIHUACAN,21022
21023,21,23,Atzitzintla,21023,21,23,ATZITZINTLA,21023
14015,14,15,Autlan de Navarro,14015,14,15,AUTLAN DE NAVARRO,14015
15016,15,16,Axapusco,15016,15,16,AXAPUSCO,15016
17003,17,3,Axochiapan,17003,17,3,AXOCHIAPAN,17003
24053,24,53,Axtla de Terrazas,24053,24,54,AXTLA DE TERRAZAS,24054
21024,21,24,Axutla,21024,21,24,AXUTLA,21024
30025,30,25,Ayahualulco,30025,30,26,AYAHUALULCO,30026
17004,17,4,Ayala,17004,17,4,AYALA,17004
20550,20,550,San Jeronimo Tlacochahuaya,20550,20,161,SAN JERONIMO TLACOCHAHUAYA,20161
21127,21,127,San Jeronimo Xayacatlan,21127,21,128,SAN JERONIMO XAYACATLAN,21128
20398,20,398,Ayoquezco de Aldama,20398,20,10,AYOQUEZCO DE ALDAMA,20010
14016,14,16,Ayotlan,14016,14,16,AYOTLAN,14016
21025,21,25,Ayotoxco de Guerrero,21025,21,25,AYOTOXCO DE GUERRERO,21025
24005,24,5,Cardenas,24005,24,5,CARDENAS,24005
13015,13,15,Cardonal,13015,13,14,CARDONAL,13014
20009,20,9,Ayotzintepec,20009,20,11,AYOTZINTEPEC,20011
14017,14,17,Ayutla,14017,14,17,AYUTLA,14017
12012,12,12,Ayutla de los Libres,12012,12,12,AYUTLA DE LOS LIBRES,12012
20013,20,13,Cienega de Zimatlan,20013,20,17,CIENEGA DE ZIMATLAN,20017
14022,14,22,Cihuatlan,14022,14,22,CIHUATLAN,14022
7017,7,17,Cintalapa,7017,7,17,CINTALAPA,7017
30035,30,35,Citlaltepetl,30035,30,37,CITLALTEPETL,30037
9002,9,2,Azcapotzalco,9002,9,2,AZCAPOTZALCO,9002
12013,12,13,Azoyu,12013,12,13,AZOYU,12013
31004,31,4,Baca,31004,31,4,BACA,31004
26008,26,8,Bacadehuachi,26008,26,7,BACADEHUACHI,26007
23010,23,10,Bacalar,23010,23,10,BACALAR,23010
26009,26,9,Bacanora,26009,26,8,BACANORA,26008
26010,26,10,Bacerac,26010,26,9,BACERAC,26009
26011,26,11,Bacoachi,26011,26,10,BACOACHI,26010
26012,26,12,Bacum,26012,26,58,BACUM,26058
8006,8,6,Bachiniva,8006,8,6,BACHINIVA,8006
25003,25,3,Badiraguato,25003,25,3,BADIRAGUATO,25003
18020,18,20,Bahia de Banderas,18020,18,4,BAHIA DE BANDERAS,18004
27001,27,1,Balancan,27001,27,1,BALANCAN,27001
8007,8,7,Balleza,8007,8,7,BALLEZA,8007
20420,20,420,Santa Maria Lachixio,20420,20,421,SANTA MARIA LACHIXIO,20421
26013,26,13,Banamichi,26013,26,11,BANAMICHI,26011
30026,30,26,Banderilla,30026,30,27,BANDERILLA,30027
8008,8,8,Batopilas de Manuel Gomez Morin,8008,8,8,BATOPILAS DE MANUEL GOMEZ MORIN,8008
26014,26,14,Baviacora,26014,26,12,BAVIACORA,26012
26015,26,15,Bavispe,26015,26,13,BAVISPE,26013
7010,7,10,Bejucal de Ocampo,7010,7,10,BEJUCAL DE OCAMPO,7010
7011,7,11,Bella Vista,7011,7,11,BELLA VISTA,7011
7114,7,114,Benemerito de las Americas,7114,7,113,BENEMERITO DE LAS AMERICAS,7113
9014,9,14,Benito Juarez,9014,9,14,BENITO JUAREZ,9014
12014,12,14,Benito Juarez,12014,12,14,BENITO JUAREZ,12014
26071,26,71,Benito Juarez,26071,26,71,BENITO JUAREZ,26071
32004,32,4,Benito Juarez,32004,32,4,BENITO JUAREZ,32004
23005,23,5,Benito Juarez,23005,23,1,BENITO JUAREZ,23001
30027,30,27,Benito Juarez,30027,30,28,BENITO JUAREZ,30028
26016,26,16,Benjamin Hill,26016,26,14,BENJAMIN HILL,26014
7012,7,12,Berriozabal,7012,7,12,BERRIOZABAL,7012
30028,30,28,Boca del Rio,30028,30,29,BOCA DEL RIO,30029
8009,8,9,Bocoyna,8009,8,9,BOCOYNA,8009
7013,7,13,Bochil,7013,7,13,BOCHIL,7013
31005,31,5,Bokoba,31005,31,5,BOKOBA,31005
14019,14,19,Bolaños,14019,14,19,BOLAÑOS,14019
16011,16,11,Briseñas,16011,16,11,BRISEÑAS,16011
12015,12,15,Buenavista de Cuellar,12015,12,15,BUENAVISTA DE CUELLAR,12015
28005,28,5,Burgos,28005,28,5,BURGOS,28005
28006,28,6,Bustamante,28006,28,6,BUSTAMANTE,28006
17034,17,34,Coatetelco,17034,17,34,COATETELCO,17034
31031,31,31,Dzoncauich,31031,31,31,DZONCAUICH,31031
19008,19,8,Bustamante,19008,19,8,BUSTAMANTE,19008
14020,14,20,Cabo Corrientes,14020,14,20,CABO CORRIENTES,14020
26017,26,17,Caborca,26017,26,46,CABORCA,26046
7015,7,15,Cacahoatan,7015,7,15,CACAHOATAN,7015
31007,31,7,Cacalchen,31007,31,7,CACALCHEN,31007
22004,22,4,Cadereyta de Montes,22004,22,3,CADEREYTA DE MONTES,22003
19009,19,9,Cadereyta Jimenez,19009,19,9,CADEREYTA JIMENEZ,19009
26018,26,18,Cajeme,26018,26,59,CAJEME,26059
6002,6,2,Colima,6002,6,1,COLIMA,6001
30042,30,42,Colipa,30042,30,44,COLIPA,30044
22005,22,5,Colon,22005,22,4,COLON,22004
14025,14,25,Colotlan,14025,14,26,COLOTLAN,14026
6003,6,3,Comala,6003,6,2,COMALA,6002
27005,27,5,Comalcalco,27005,27,5,COMALCALCO,27005
30043,30,43,Comapa,30043,30,45,COMAPA,30045
7019,7,19,Comitan de Dominguez,7019,7,19,COMITAN DE DOMINGUEZ,7019
3001,3,1,Comondu,3001,3,1,COMONDU,3001
11009,11,9,Comonfort,11009,11,9,COMONFORT,11009
18004,18,4,Compostela,18004,18,5,COMPOSTELA,18005
20018,20,18,Concepcion Buenavista,20018,20,21,CONCEPCION BUENAVISTA,20021
14026,14,26,Concepcion de Buenos Aires,14026,14,27,CONCEPCION DE BUENOS AIRES,14027
32007,32,7,Concepcion del Oro,32007,32,7,CONCEPCION DEL ORO,32007
20019,20,19,Concepcion Papalo,20019,20,22,CONCEPCION PAPALO,20022
25004,25,4,Concordia,25004,25,4,CONCORDIA,25004
10003,10,3,Coneto de Comonfort,10003,10,3,CONETO DE COMONFORT,10003
31013,31,13,Conkal,31013,31,13,CONKAL,31013
14037,14,37,El Grullo,14037,14,39,EL GRULLO,14039
30205,30,205,El Higo,30205,30,207,EL HIGO,30207
14054,14,54,El Limon,14054,14,56,EL LIMON,14056
20011,20,11,Calihuala,20011,20,13,CALIHUALA,20013
15018,15,18,Calimaya,15018,15,18,CALIMAYA,15018
4001,4,1,Calkini,4001,4,2,CALKINI,4002
13014,13,14,Calnali,13014,13,13,CALNALI,13013
31008,31,8,Calotmul,31008,31,8,CALOTMUL,31008
21026,21,26,Calpan,21026,21,26,CALPAN,21026
29006,29,6,Calpulalpan,29006,29,6,CALPULALPAN,29006
21027,21,27,Caltepec,21027,21,27,CALTEPEC,21027
1003,1,3,Calvillo,1003,1,3,CALVILLO,1003
8011,8,11,Camargo,8011,8,11,CAMARGO,8011
28007,28,7,Camargo,28007,28,7,CAMARGO,28007
30007,30,7,Camaron de Tejeda,30007,30,7,CAMARON DE TEJEDA,30007
30030,30,30,Camerino Z. Mendoza,30030,30,31,CAMERINO Z. MENDOZA,30031
29051,29,51,San Jeronimo Zacualpan,29051,29,56,SAN JERONIMO ZACUALPAN,29056
22015,22,15,San Joaquin,22015,22,15,SAN JOAQUIN,22015
21028,21,28,Camocuautla,21028,21,28,CAMOCUAUTLA,21028
4002,4,2,Campeche,4002,4,1,CAMPECHE,4001
26019,26,19,Cananea,26019,26,15,CANANEA,26015
10001,10,1,Canatlan,10001,10,1,CANATLAN,10001
5005,5,5,Candela,5005,5,5,CANDELA,5005
4011,4,11,Candelaria,4011,4,10,CANDELARIA,4010
20012,20,12,Candelaria Loxicha,20012,20,14,CANDELARIA LOXICHA,20014
10002,10,2,Canelas,10002,10,2,CANELAS,10002
31009,31,9,Cansahcab,31009,31,9,CANSAHCAB,31009
31010,31,10,Cantamayec,31010,31,10,CANTAMAYEC,31010
21099,21,99,Cañada Morelos,21099,21,29,CAÑADA MORELOS,21029
14117,14,117,Cañadas de Obregon,14117,14,117,CAÑADAS DE OBREGON,14117
32006,32,6,Cañitas de Felipe Pescador,32006,32,6,CAÑITAS DE FELIPE PESCADOR,32006
20247,20,247,Capulalpam de Mendez,20247,20,559,CAPULALPAM DE MENDEZ,20559
29056,29,56,Santa Ana Nopalucan,29056,29,58,SANTA ANA NOPALUCAN,29058
15019,15,19,Capulhuac,15019,15,19,CAPULHUAC,15019
16013,16,13,Caracuaro,16013,16,13,CARACUARO,16013
26020,26,20,Carbo,26020,26,47,CARBO,26047
27002,27,2,Cardenas,27002,27,2,CARDENAS,27002
8012,8,12,Carichi,8012,8,12,CARICHI,8012
30208,30,208,Carlos A. Carrillo,30208,30,208,CARLOS A. CARRILLO,30208
19010,19,10,El Carmen,19010,19,10,CARMEN,19010
4003,4,3,Carmen,4003,4,3,CARMEN,4003
30031,30,31,Carrillo Puerto,30031,30,32,CARRILLO PUERTO,30032
28008,28,8,Casas,28008,28,8,CASAS,28008
8013,8,13,Casas Grandes,8013,8,13,CASAS GRANDES,8013
14021,14,21,Casimiro Castillo,14021,14,21,CASIMIRO CASTILLO,14021
5006,5,6,Castaños,5006,5,6,CASTAÑOS,5006
30157,30,157,Castillo de Teayo,30157,30,33,CASTILLO DE TEAYO,30033
7016,7,16,Catazaja,7016,7,16,CATAZAJA,7016
30032,30,32,Catemaco,30032,30,34,CATEMACO,30034
31079,31,79,Tekax,31079,31,79,TEKAX,31079
24006,24,6,Catorce,24006,24,6,CATORCE,24006
31080,31,80,Tekit,31080,31,80,TEKIT,31080
21029,21,29,Caxhuacan,21029,21,30,CAXHUACAN,21030
30033,30,33,Cazones de Herrera,30033,30,35,CAZONES DE HERRERA,30035
31081,31,81,Tekom,31081,31,81,TEKOM,31081
31082,31,82,Telchac Pueblo,31082,31,82,TELCHAC PUEBLO,31082
24007,24,7,Cedral,24007,24,7,CEDRAL,24007
